,neu,Datum
Alsdorf,3,05_28_2021
Alsdorf,14,05_29_2021
Alsdorf,0,05_30_2021
Alsdorf,2,05_31_2021
Alsdorf,11,06_01_2021
Alsdorf,4,06_02_2021
Alsdorf,3,06_03_2021
Alsdorf,2,06_04_2021
Alsdorf,2,06_05_2021
Alsdorf,0,06_06_2021
Alsdorf,2,06_07_2021
Alsdorf,3,06_08_2021
Alsdorf,3,06_09_2021
Alsdorf,0,06_10_2021
Alsdorf,1,06_11_2021
Alsdorf,0,06_12_2021
Alsdorf,0,06_13_2021
Alsdorf,1,06_14_2021
Baesweiler,null,08_05_2020
Baesweiler,1,08_06_2020
Baesweiler,0,08_07_2020
Baesweiler,0,08_08_2020
Baesweiler,0,08_09_2020
Baesweiler,1,08_10_2020
Baesweiler,1,08_11_2020
Baesweiler,2,08_12_2020
Baesweiler,0,08_13_2020
Baesweiler,0,08_14_2020
Baesweiler,0,08_15_2020
Baesweiler,0,08_16_2020
Baesweiler,4,08_17_2020
Baesweiler,0,08_18_2020
Baesweiler,1,08_19_2020
Baesweiler,0,08_20_2020
Baesweiler,1,08_21_2020
Baesweiler,0,08_22_2020
Baesweiler,0,08_23_2020
Baesweiler,2,08_24_2020
Baesweiler,0,08_25_2020
Baesweiler,1,08_26_2020
Baesweiler,0,08_27_2020
Baesweiler,0,08_28_2020
Baesweiler,0,08_29_2020
Baesweiler,0,08_30_2020
Baesweiler,0,08_31_2020
Baesweiler,1,09_01_2020
Baesweiler,0,09_02_2020
Baesweiler,0,09_03_2020
Baesweiler,1,09_04_2020
Baesweiler,0,09_05_2020
Baesweiler,0,09_06_2020
Baesweiler,0,09_07_2020
Baesweiler,0,09_08_2020
Baesweiler,0,09_09_2020
Baesweiler,0,09_10_2020
Baesweiler,0,09_11_2020
Baesweiler,0,09_12_2020
Baesweiler,0,09_13_2020
Baesweiler,1,09_14_2020
Baesweiler,1,09_15_2020
Baesweiler,0,09_16_2020
Baesweiler,0,09_17_2020
Baesweiler,1,09_18_2020
Baesweiler,0,09_19_2020
Baesweiler,0,09_20_2020
Baesweiler,0,09_21_2020
Baesweiler,0,09_22_2020
Baesweiler,3,09_23_2020
Baesweiler,0,09_24_2020
Baesweiler,0,09_25_2020
Baesweiler,0,09_26_2020
Baesweiler,0,09_27_2020
Baesweiler,1,09_28_2020
Baesweiler,1,09_29_2020
Baesweiler,0,09_30_2020
Baesweiler,3,10_01_2020
Baesweiler,0,10_02_2020
Baesweiler,0,10_03_2020
Baesweiler,1,10_04_2020
Baesweiler,0,10_05_2020
Baesweiler,0,10_06_2020
Baesweiler,5,10_07_2020
Baesweiler,2,10_08_2020
Baesweiler,3,10_09_2020
Baesweiler,3,10_10_2020
Baesweiler,4,10_11_2020
Baesweiler,0,10_12_2020
Baesweiler,7,10_13_2020
Baesweiler,10,10_14_2020
Baesweiler,22,10_15_2020
Baesweiler,13,10_16_2020
Baesweiler,17,10_17_2020
Baesweiler,0,10_18_2020
Baesweiler,7,10_19_2020
Baesweiler,12,10_20_2020
Baesweiler,16,10_21_2020
Baesweiler,22,10_22_2020
Baesweiler,15,10_23_2020
Baesweiler,33,10_24_2020
Baesweiler,0,10_25_2020
Baesweiler,52,10_26_2020
Baesweiler,10,10_27_2020
Baesweiler,8,10_28_2020
Baesweiler,23,10_29_2020
Baesweiler,19,10_30_2020
Baesweiler,37,10_31_2020
Baesweiler,12,11_01_2020
Baesweiler,-1,11_02_2020
Baesweiler,6,11_03_2020
Baesweiler,8,11_04_2020
Baesweiler,25,11_05_2020
Baesweiler,26,11_06_2020
Baesweiler,28,11_07_2020
Baesweiler,4,11_08_2020
Baesweiler,0,11_09_2020
Baesweiler,19,11_10_2020
Baesweiler,16,11_11_2020
Baesweiler,23,11_12_2020
Baesweiler,19,11_13_2020
Baesweiler,0,11_14_2020
Baesweiler,37,11_15_2020
Baesweiler,3,11_16_2020
Baesweiler,2,11_17_2020
Baesweiler,15,11_18_2020
Baesweiler,9,11_19_2020
Baesweiler,5,11_20_2020
Baesweiler,0,11_21_2020
Baesweiler,0,11_22_2020
Baesweiler,16,11_23_2020
Baesweiler,5,11_24_2020
Baesweiler,5,11_25_2020
Baesweiler,5,11_26_2020
Baesweiler,5,11_27_2020
Baesweiler,6,11_28_2020
Baesweiler,0,11_29_2020
Baesweiler,3,11_30_2020
Baesweiler,8,12_01_2020
Baesweiler,5,12_02_2020
Baesweiler,5,12_03_2020
Baesweiler,2,12_04_2020
Baesweiler,9,12_05_2020
Baesweiler,0,12_06_2020
Baesweiler,2,12_07_2020
Baesweiler,1,12_08_2020
Baesweiler,4,12_09_2020
Baesweiler,4,12_10_2020
Baesweiler,7,12_11_2020
Baesweiler,7,12_12_2020
Baesweiler,2,12_13_2020
Baesweiler,1,12_14_2020
Baesweiler,8,12_15_2020
Baesweiler,22,12_16_2020
Baesweiler,6,12_17_2020
Baesweiler,12,12_18_2020
Baesweiler,3,12_19_2020
Baesweiler,3,12_20_2020
Baesweiler,2,12_21_2020
Baesweiler,5,12_22_2020
Baesweiler,18,12_23_2020
Baesweiler,5,12_24_2020
Baesweiler,4,12_25_2020
Baesweiler,1,12_26_2020
Baesweiler,1,12_27_2020
Baesweiler,1,12_28_2020
Baesweiler,7,12_29_2020
Baesweiler,6,12_30_2020
Baesweiler,8,12_31_2020
Baesweiler,1,01_01_2021
Baesweiler,-1,01_02_2021
Baesweiler,3,01_03_2021
Baesweiler,0,01_04_2021
Baesweiler,6,01_05_2021
Baesweiler,5,01_06_2021
Baesweiler,5,01_07_2021
Baesweiler,2,01_08_2021
Baesweiler,1,01_09_2021
Baesweiler,2,01_10_2021
Baesweiler,1,01_11_2021
Baesweiler,4,01_12_2021
Baesweiler,4,01_13_2021
Baesweiler,5,01_14_2021
Baesweiler,3,01_15_2021
Baesweiler,6,01_16_2021
Baesweiler,2,01_17_2021
Baesweiler,0,01_18_2021
Baesweiler,5,01_19_2021
Baesweiler,9,01_20_2021
Baesweiler,3,01_21_2021
Baesweiler,9,01_22_2021
Baesweiler,3,01_23_2021
Baesweiler,3,01_24_2021
Baesweiler,-1,01_25_2021
Baesweiler,4,01_26_2021
Baesweiler,5,01_27_2021
Baesweiler,4,01_28_2021
Baesweiler,8,01_29_2021
Baesweiler,2,01_30_2021
Baesweiler,0,01_31_2021
Baesweiler,1,02_01_2021
Baesweiler,2,02_02_2021
Baesweiler,9,02_03_2021
Baesweiler,2,02_04_2021
Baesweiler,1,02_05_2021
Baesweiler,1,02_06_2021
Baesweiler,0,02_07_2021
Baesweiler,0,02_08_2021
Baesweiler,0,02_09_2021
Baesweiler,6,02_10_2021
Baesweiler,2,02_11_2021
Baesweiler,1,02_12_2021
Baesweiler,0,02_13_2021
Baesweiler,2,02_14_2021
Baesweiler,0,02_15_2021
Baesweiler,1,02_16_2021
Baesweiler,3,02_17_2021
Baesweiler,1,02_18_2021
Baesweiler,0,02_19_2021
Baesweiler,1,02_20_2021
Baesweiler,0,02_21_2021
Baesweiler,0,02_22_2021
Baesweiler,0,02_23_2021
Baesweiler,2,02_24_2021
Baesweiler,1,02_25_2021
Baesweiler,2,02_26_2021
Baesweiler,0,02_27_2021
Baesweiler,3,02_28_2021
Baesweiler,1,03_01_2021
Baesweiler,2,03_02_2021
Baesweiler,8,03_03_2021
Baesweiler,3,03_04_2021
Baesweiler,2,03_05_2021
Baesweiler,1,03_06_2021
Baesweiler,0,03_07_2021
Baesweiler,0,03_08_2021
Baesweiler,8,03_09_2021
Baesweiler,6,03_10_2021
Baesweiler,7,03_11_2021
Baesweiler,8,03_12_2021
Baesweiler,6,03_13_2021
Baesweiler,2,03_14_2021
Baesweiler,-1,03_15_2021
Baesweiler,7,03_16_2021
Baesweiler,4,03_17_2021
Baesweiler,2,03_18_2021
Baesweiler,6,03_19_2021
Baesweiler,1,03_20_2021
Baesweiler,1,03_21_2021
Baesweiler,0,03_22_2021
Baesweiler,7,03_23_2021
Baesweiler,6,03_24_2021
Baesweiler,5,03_25_2021
Baesweiler,7,03_26_2021
Baesweiler,3,03_27_2021
Baesweiler,3,03_28_2021
Baesweiler,6,03_29_2021
Baesweiler,5,03_30_2021
Baesweiler,10,03_31_2021
Baesweiler,12,04_01_2021
Baesweiler,11,04_02_2021
Baesweiler,4,04_03_2021
Baesweiler,1,04_04_2021
Baesweiler,1,04_05_2021
Baesweiler,1,04_06_2021
Baesweiler,12,04_07_2021
Baesweiler,10,04_08_2021
Baesweiler,10,04_09_2021
Baesweiler,3,04_10_2021
Baesweiler,8,04_11_2021
Baesweiler,0,04_12_2021
Baesweiler,12,04_13_2021
Baesweiler,17,04_14_2021
Baesweiler,5,04_15_2021
Baesweiler,14,04_16_2021
Baesweiler,8,04_17_2021
Baesweiler,0,04_18_2021
Baesweiler,7,04_19_2021
Baesweiler,4,04_20_2021
Baesweiler,7,04_21_2021
Baesweiler,5,04_22_2021
Baesweiler,18,04_23_2021
Baesweiler,4,04_24_2021
Baesweiler,3,04_25_2021
Baesweiler,4,04_26_2021
Baesweiler,5,04_27_2021
Baesweiler,6,04_28_2021
Baesweiler,8,04_29_2021
Baesweiler,1,04_30_2021
Baesweiler,4,05_01_2021
Baesweiler,1,05_02_2021
Baesweiler,2,05_03_2021
Baesweiler,5,05_04_2021
Baesweiler,8,05_05_2021
Baesweiler,0,05_06_2021
Baesweiler,1,05_07_2021
Baesweiler,1,05_08_2021
Baesweiler,1,05_09_2021
Baesweiler,1,05_10_2021
Baesweiler,2,05_11_2021
Baesweiler,6,05_12_2021
Baesweiler,3,05_13_2021
Baesweiler,1,05_14_2021
