,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage
98,Bockau,42,10.0,2.225,449,Erzgebirgskreis,0,1
99,Thum,43,20.0,5.118,391,Erzgebirgskreis,0,2
100,Großrückerswalde,44,10.0,3.3560000000000003,298,Erzgebirgskreis,1,2
101,Raschau-Markersbach,45,10.0,4.997,20,Erzgebirgskreis,12,13
102,Oelsnitz/Erzgeb.,46,20.0,10.950999999999999,183,Erzgebirgskreis,17,19
103,Schwarzenberg/Erzgeb.,47,30.0,16.447,182,Erzgebirgskreis,5,8
104,Lauter-Bernsbach,48,10.0,8.628,116,Erzgebirgskreis,9,10
105,Börnichen/Erzgeb.,49,6.0,985.0,0,Erzgebirgskreis,2,2
106,Drebach,49,6.0,5.127000000000001,0,Erzgebirgskreis,7,7
107,Heidersdorf,49,2.0,784.0,0,Erzgebirgskreis,0,0
108,Johanngeorgenstadt,49,6.0,3.897,0,Erzgebirgskreis,2,2
109,Marienberg,49,6.0,16.906,0,Erzgebirgskreis,36,36
110,Niederdorf,49,6.0,1.28,0,Erzgebirgskreis,5,5
111,Oberwiesenthal,49,6.0,2.0780000000000003,0,Erzgebirgskreis,4,4
112,Pockau-Lengefeld,49,6.0,7.539,0,Erzgebirgskreis,5,5
113,Schlettau,49,6.0,2.3680000000000003,0,Erzgebirgskreis,3,3
114,Stollberg/Erzgeb.,49,6.0,11.3,0,Erzgebirgskreis,13,13
115,Thermalbad Wiesenbad,49,6.0,3.242,0,Erzgebirgskreis,3,3
116,Weißkeißel,1,40.0,1.284,3115,Görlitz,0,4
117,Waldhufen,2,50.0,2.37,211,Görlitz,0,5
118,Horka,3,30.0,1.694,1771,Görlitz,1,4
119,Hähnichen,4,20.0,1.247,1604,Görlitz,1,3
120,Oppach,5,30.0,2.3280000000000003,1289,Görlitz,1,4
121,Rothenburg/O.L.,6,50.0,4.458,1122,Görlitz,11,16
122,Hohendubrau,7,20.0,1.882,1063,Görlitz,1,3
123,Reichenbach/O.L.,8,50.0,4.915,1017,Görlitz,3,8
124,Groß Düben,9,10.0,1.069,935,Görlitz,2,3
125,Oybin,10,10.0,1.358,736,Görlitz,0,1
126,Niesky,11,60.0,9.343,642,Görlitz,7,13
127,Lawalde,12,10.0,1.835,545,Görlitz,1,2
128,Ebersbach-Neugersdorf,13,60.0,11.853,506,Görlitz,8,14
129,Boxberg/O.L.,14,20.0,4.402,454,Görlitz,4,6
130,Oderwitz,15,20.0,5.002,40,Görlitz,3,5
131,Weißwasser/O.L.,16,60.0,15.886,378,Görlitz,7,13
132,Bernstadt a.d. Eigen,17,10.0,3.3539999999999996,298,Görlitz,2,3
133,Leutersdorf,18,10.0,3.483,287,Görlitz,3,4
134,Löbau,19,40.0,14.456,277,Görlitz,11,15
135,Kottmar,20,20.0,7.236000000000001,276,Görlitz,5,7
136,Seifhennersdorf,21,10.0,3.66,273,Görlitz,1,2
137,Herrnhut,22,10.0,5.837000000000001,171,Görlitz,3,4
138,Görlitz,23,90.0,55.98,161,Görlitz,20,29
139,Zittau,24,40.0,25.086,159,Görlitz,13,17
140,Bad Muskau,25,2.0,3.6860000000000004,0,Görlitz,0,0
141,Beiersdorf,25,6.0,1.14,0,Görlitz,1,1
142,Bertsdorf-Hörnitz,25,6.0,2.086,0,Görlitz,1,1
143,Dürrhennersdorf,25,6.0,986.0,0,Görlitz,1,1
